GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE150540,HUVEC,siRNA,ADA2 + Dipyridamole,?,GSM4551990;GSM4551991;GSM4551992,GSM4551984;GSM4551985;GSM4551986
GSE150540,HUVEC,siRNA,ADA2,?,GSM4551987;GSM4551988;GSM4551989,GSM4551984;GSM4551985;GSM4551986
GSE150572,MDMs,siRNA,GAPLINC,?,GSM4552495;GSM4552496,GSM4552493;GSM4552494
GSE150936,MSC,ko,ALKBH1,?,GSM4561536;GSM4561537,GSM4561538;GSM4561539
GSE150945,NPC,siRNA,GNL3,?,GSM4561661;GSM4561662;GSM4561663;GSM4561664;GSM4561665,GSM4561666;GSM4561667;GSM4561668
GSE151250,HSC,shRNA,GIPC1,?,GSM4569613;GSM4569614;GSM4569615,GSM4569610;GSM4569611;GSM4569612
GSE151435,hDPSCs,siRNA,GDF11,?,GSM4578039;GSM4578040;GSM4578041,GSM4578036;GSM4578037;GSM4578038
GSE151610,ARPE-19,shRNA,EMP2,?,GSM4586571;GSM4586579;GSM4586587,GSM4586573;GSM4586581;GSM4586589
GSE151610,ARPE-19,Overexpression,EMP2,?,GSM4586572;GSM4586580;GSM4586588,GSM4586573;GSM4586581;GSM4586589
GSE151610,ARPE-19 + Hypoxia,shRNA,EMP2,?,GSM4586567;GSM4586575;GSM4586583,GSM4586569;GSM4586577;GSM4586585
GSE151610,ARPE-19 + Hypoxia,Overexpression,EMP2,?,GSM4586568;GSM4586576;GSM4586584,GSM4586569;GSM4586577;GSM4586585
GSE151924,HUVEC,siRNA,ADA2,?,GSM4593844;GSM4593845;GSM4593846,GSM4593841;GSM4593842;GSM4593843
GSE152562,HCEC,shRNA,APC,?,GSM4618277;GSM4618278;GSM4618279,GSM4618274;GSM4618275;GSM4618276
GSE153448,HASMCs,siRNA,SMARCD1,?,GSM4644385;GSM4644386;GSM4644387;GSM4644388,GSM4644381;GSM4644382;GSM4644383;GSM4644384
GSE154482,NPC,ko,TCF3,?,GSM4671928;GSM4671929;GSM4671930,GSM4671925;GSM4671926;GSM4671927
GSE154482,NPC,ko,TCF3,?,GSM4671931;GSM4671932;GSM4671933,GSM4671925;GSM4671926;GSM4671927
GSE154822,hDFCs,siRNA,CHD7,?,GSM4680705;GSM4680706;GSM4680707,GSM4680702;GSM4680703;GSM4680704
GSE155719,M-CSF-derived macrophages,siRNA,MAFB,?,GSM4711219;GSM4711220;GSM4711221,GSM4711216;GSM4711217;GSM4711218
GSE155719,M-CSF-derived macrophages,siRNA,MAF,?,GSM4711222;GSM4711223;GSM4711224,GSM4711216;GSM4711217;GSM4711218
GSE157012,NPC,shRNA,SMARCB1,?,GSM4750872;GSM4750873;GSM4750874,GSM4750870;GSM4750871
GSE157012,Neuron,shRNA,SMARCB1,?,GSM4750884;GSM4750885,GSM4750882;GSM4750883
GSE159853,HFF-1,ko,ZC3HAV1,?,GSM4848761;GSM4848762,GSM4848751;GSM4848752
GSE159894,human primary microvascular endothelial cells,shRNA,SEPTIN2,?,GSM4849559;GSM4849560,GSM4849557;GSM4849558
GSE161815,HUVEC,ko,MYC,?,GSM4915119;GSM4915120;GSM4915121,GSM4915116;GSM4915117;GSM4915118
GSE161846,hSAEC,shRNA,SMARCA4,?,GSM4915898;GSM4915899;GSM4915900;GSM4915901,GSM4915890;GSM4915891;GSM4915892;GSM4915893
GSE164595,GM12878,CRISPRi,XIST,?,GSM5014642;GSM5014643,GSM5014640;GSM5014641
GSE164595,GM12878 + DNMT inhibitors,CRISPRi,XIST,?,GSM5014646;GSM5014647,GSM5014644;GSM5014645
