"","gene"
"801","ENSG00000100124"
"802","ENSG00000164512"
"803","ENSG00000135299"
"804","ENSG00000157999"
"805","ENSG00000181626"
"806","ENSG00000259271"
"807","ENSG00000230778"
"808","ENSG00000235098"
"809","ENSG00000230062"
"810","ENSG00000106013"
"811","ENSG00000156381"
"812","ENSG00000064999"
"813","ENSG00000185046"
"814","ENSG00000168096"
"815","ENSG00000284290"
"816","ENSG00000165138"
"817","ENSG00000206199"
"818","ENSG00000163516"
"819","ENSG00000011426"
"820","ENSG00000131620"
"821","ENSG00000160746"
"822","ENSG00000047617"
"823","ENSG00000134343"
"824","ENSG00000262139"
"825","ENSG00000171714"
"826","ENSG00000177119"
"827","ENSG00000146205"
"828","ENSG00000074855"
"829","ENSG00000185101"
"830","ENSG00000011201"
"831","ENSG00000241859"
"832","ENSG00000140350"
"833","ENSG00000259516"
"834","ENSG00000136938"
"835","ENSG00000259790"
"836","ENSG00000143401"
"837","ENSG00000166825"
"838","ENSG00000169604"
"839","ENSG00000163297"
"840","ENSG00000274209"
"841","ENSG00000263482"
"842","ENSG00000135046"
"843","ENSG00000109511"
"844","ENSG00000122359"
"845","ENSG00000104537"
"846","ENSG00000182718"
"847","ENSG00000213406"
"848","ENSG00000231991"
"849","ENSG00000177721"
"850","ENSG00000138772"
"851","ENSG00000196975"
"852","ENSG00000164111"
"853","ENSG00000197043"
"854","ENSG00000138279"
"855","ENSG00000265190"
"856","ENSG00000264230"
"857","ENSG00000143412"
"858","ENSG00000136250"
"859","ENSG00000002726"
"860","ENSG00000131480"
"861","ENSG00000131471"
"862","ENSG00000260105"
"863","ENSG00000138356"
"864","ENSG00000243478"
"865","ENSG00000244301"
"866","ENSG00000138660"
"867","ENSG00000100280"
"868","ENSG00000234479"
"869","ENSG00000166747"
"870","ENSG00000213983"
"871","ENSG00000072958"
"872","ENSG00000129354"
"873","ENSG00000106367"
"874","ENSG00000182287"
"875","ENSG00000152056"
"876","ENSG00000196961"
"877","ENSG00000281385"
"878","ENSG00000006125"
